FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1997;99,2
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1998;101,68
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1999;100,44
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2000;103,33
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2001;100,17
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2002;91,64
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2003;92,81
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2004;95,57
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2005;91,84
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2006;92,47
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2007;90,8
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2008;90,79
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2009;93,79
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2010;90,28
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2011;88,07
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2012;87,06
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013;88,99
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014;93,7
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2015;103,5
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2016;105,32
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2017;104,51
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2018;104,57
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2019;107,64
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2020;114,9
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2021;108,76
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2022;110,03
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2023;119,38
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2024;120,32
A;Årlig;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2025;119,6
