FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1996;4,48;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1997;3,38;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1998;5,51;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;1999;6,35;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2000;6,22;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2001;6,98;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2002;6,73;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2003;4,21;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2004;1,82;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2005;1,92;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2006;2,74;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2007;4,38;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2008;5,32;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2009;1,75;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2010;1,92;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2011;2,14;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2012;1,55;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2013;1,5;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2014;1,49;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2015;1,05;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2016;0,55;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2017;0,5;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018;0,57;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019;1,15;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020;0,36;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2021;0,08;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022;1,33;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023;3,54;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2024;4,5;;
A;Årlig;KPRA;Styringsrenten;SD;Styringsrenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2025;4,29;;
